continent,year,internet_population,total_population
Oceania,1999,9390646,30879799
Oceania,2000,10920936,31352628
Oceania,2001,12463434,31846890
Oceania,2002,2619052,32365687
Oceania,2003,2785937,32894223
Oceania,2004,2910370,33418745
Oceania,2005,15810392,33955853
Oceania,2006,16957378,34540031
Oceania,2007,18027798,35189700
Oceania,2008,18921514,35890031
Oceania,2009,20260466,36593207
Oceania,2010,21051036,37253760
Oceania,2011,22356032,37889768
Oceania,2012,22824094,38550174
Oceania,2013,24466048,39233595
Oceania,2014,25238508,39918438
Oceania,2015,26052176,40614680
Oceania,2016,27087544,41346915
Oceania,2017,28220486,42093650
Oceania,2018,27912692,42815158
Oceania,2019,31616984,43504185
Oceania,2020,33776156,44078974
